id,title_zh,title_en,title_jp,caption_zh,caption_en,caption_jp,category,posterImage,rarity,hidden,oracle,title_ru,caption_ru,title_es,caption_es,title_tc,caption_tc,series,,,,
293,在另一个国家开车,Driving In Another Country,別の国で運転する,"一个国家的道路就是它的毛细血管：体现着文化和性格。
北海道的路上有箭头标记，是为了冬天大雪时告诉你路在哪里；澳大利亚的路牌会温馨提示你小心袋鼠；天津的警示是“驾车说笑，危及安全”。","A country’s roads are its capillaries, reflecting culture and character. In Hokkaido, arrows mark the road for snowy winters; in Australia, signs gently warn you to watch for kangaroos; in Tianjin, the warning reads, “Talking while driving endangers safety.”",国の道路は毛細血管のように文化と性格を映し出す。北海道では雪の季節に道を示す矢印があり、オーストラリアではカンガルーに注意する看板が優しく促し、天津では「運転中の会話は危険」と警告する。,quest,,common,,,Вождение автомобилей в другой стране,"Дороги страны — это её капилляры: они отражают культуру и характер. На дорогах Хоккайдо есть стрелки, чтобы зимой, при сильном снегопаде, показать, где находится дорога; дорожные знаки в Австралии дружески напоминают остерегаться кенгуру; предупреждение в Тяньцзине звучит так: «Разговор и смех за рулём угрожают безопасности».",Conducir en otro país,"Las carreteras de un país son sus capilares: reflejan su cultura y personalidad. En las carreteras de Hokkaido hay flechas para indicarte dónde está el camino cuando cae mucha nieve en invierno; las señales de tráfico en Australia te advierten amablemente que tengas cuidado con los canguros; la advertencia en Tianjin es ""Hablar y reír al conducir pone en peligro la seguridad"".",在另一個國家開車,"一個國家的道路就是它的毛細血管：體現著文化和性格。
北海道的路上有箭頭標記，是為了冬天大雪時告訴你路在哪裏；澳大利亞的路牌會溫馨提示你小心袋鼠；天津的警示是「駕車說笑，危及安全」。",,,,,
294,探店,Restaurant Scouting,店を開拓する,"其实人类打猎的天性从未消失，总是喜欢拥有一个目标然后去完成它。
城市，这个钢筋水泥铸就的森立，容纳着性格迥异的小店，它们简直就是店主的化身。
轻轻推门进去，享受和店主人精神上的交流，为这一天的目标感打上一个大大的勾。","Human hunting instincts never vanished. We always love having a goal and achieving it. 
A city of steel and concrete houses quirky shops that embody their owners. 
Push the door gently, enjoy a mental exchange with the shopkeeper, and check off today’s mission with pride.","人間の狩猟本能は消えていない—常に目標を持ち、それを達成するのが好きだ。
鋼とコンクリートの都市には店主の個性を映すユニークな店がある。
そっとドアを押し開け、店主との精神的な交流を楽しみ、今日のミッションに大きなチェックを入れる。",quest,,common,,,Посещение Магазина,"Инстинкт охоты у человека никогда не исчезал; нам всегда нравится иметь цель и достигать её. Города, эти леса из бетона и стали, полны маленьких магазинов с характером — они практически олицетворение своих владельцев. Осторожно откройте дверь и наслаждайтесь духовной связью с хозяином магазина, отмечая цель дня.",Visitar una Tienda,"El instinto de caza del ser humano nunca ha desaparecido; siempre nos gusta tener un objetivo y cumplirlo. Las ciudades, estos bosques de hormigón y acero, albergan pequeñas tiendas con personalidad; son prácticamente la encarnación de sus dueños. Empuja la puerta suavemente y disfruta de una conexión espiritual con el propietario, marcando tu objetivo del día.",探店,"其實人類打獵的天性從未消失，總是喜歡擁有一個目標然後去完成它。
城市，這個鋼筋水泥鑄就的森立，容納著性格迥異的小店，它們簡直就是店主的化身。
輕輕推門進去，享受和店主人精神上的交流，為這一天的目標感打上一個大大的勾。",,,,,
295,烧玻璃,Glassblowing,吹きガラス,一吹一捏，一个形状就在手中诞生。那么烫又那么柔软，晶莹透亮。,"With each blow and pinch, a shape emerges in your hands. So hot yet so soft, crystal clear.",吹いて捏ねるごとに、熱くも柔らかく透き通った形が手の中で誕生する。,skills,,rare,,,Работа с горячим стеклом,"Дыхнув и сжав, форма рождается в руках. Так горячая и такая мягкая, кристально прозрачная.",Cocción de vidrio,"Un soplo y una presión, y una forma nace en las manos. Tan caliente y tan suave, transparente y brillante.",燒玻璃,一吹一捏，一個形狀就在手中誕生。那麽燙又那麽柔軟，晶瑩透亮。,,,,,
296,编织,Weaving,編み物,竹叶一层一层叠加，变成形状，从柔软变得坚韧。,Layering bamboo leaves until form transforms from soft to resilient.,竹の葉を一枚一枚重ね、柔らかさから強靭さへと姿を変える。,skills,,common,,,ткачество,"Листья бамбука накладываются друг на друга, образуя форму, переходя из мягких в прочные.",Tejer,"Las hojas de bambú se superponen una capa sobre otra, formando una forma, y pasan de ser suaves a resistentes.",編織,竹葉一層一層疊加，變成形狀，從柔軟變得堅韌。,,,,,
297,玩弹弓,Playing With A Slingshot,スリングショットをする,小时候的我们有这样那样的玩具，而现在的小孩似乎只有大大的手机和iPad。,As kids we had all kinds of toys. Now children seem to have only big phones and iPads.,子どもの頃は色んなおもちゃがあったのに、今の子は大きなスマホとiPadだけのようだ。,sports,,common,,,играть в рогатку,"Когда мы были маленькими, у нас были разные игрушки, а сейчас у детей, похоже, только большие телефоны и iPad.",Jugar con una honda,"Cuando éramos niños, teníamos juguetes de todo tipo, pero ahora los niños parecen tener solo teléfonos móviles grandes y iPads.",玩彈弓,小時候的我們有這樣那樣的玩具，而現在的小孩似乎只有大大的手機和iPad。,,,,,
298,花切,Cardistry,Cardistry,要不要来尝试一下你的手指灵活度的极限？,Want to test the limits of your finger agility?,指先の器用さの限界に挑戦してみない？,skills,,rare,,,Карточный флип,Хотите ли попробовать подвизаться в пределах гибкости ваших пальцев?,Corte Floral,¿Quieres probar el límite de la flexibilidad de tus dedos?,花切,要不要來嘗試一下你的手指靈活度的極限？,,,,,
299,拼完一幅拼图,Completing A Puzzle,パズルを完成する,有一个拼图名字叫“纯白地狱”，快去试试吧。,There’s one puzzle called “Pure White Hell.” Go give it a try.,「純白地獄」というパズルがある。ぜひ挑戦してみて。,quest,,common,,,Собрать Пазл,Есть пазл под названием «Чистый белый ад». Попробуй его.,Completar un Rompecabezas,Hay un rompecabezas llamado “Infierno Puro Blanco”. Ve a probarlo.,拼完一幅拼圖,有一個拼圖名字叫「純白地獄」，快去試試吧。,,,,,
300,修好一样东西,Fixing Something,何かを修理する,计划性报废和消费主义让我们相信更新的总是更好，甚至忘了东西坏了是可以修的。,Planned obsolescence and consumerism make us forget that broken things can be repaired.,計画的陳腐化と消費主義で、故障した物が直せることを忘れてしまう。,skills,,common,,,Починить Вещь,"Плановое устаревание и потребительство заставляют нас верить, что новое всегда лучше, и мы даже забываем, что сломанную вещь можно починить.",Arreglar Algo,"La obsolescencia planificada y el consumismo nos hacen creer que lo nuevo siempre es mejor, y hasta olvidamos que lo roto se puede reparar.",修好一樣東西,計劃性報廢和消費主義讓我們相信更新的總是更好，甚至忘了東西壞了是可以修的。,,,,,
301,一幅眼镜,A Pair Of Glasses,眼鏡,你是从什么时候开始近视的？我曾经视它为勋章：好像戴上它就因此变得博学、智识。长大了之后却想方设法把它摘下，好让我看着运动、开朗。,When did you become nearsighted? I once wore it as a badge of honor; now I want to take it off and see clearly again.,いつから近視になった？かつては勲章のように思えたが、大人になると外してクリアに見たくなる。,life,,common,,,Пара Очков,"Когда ты начал близоруким? Раньше я считал это медалью: казалось, что, надев их, я становлюсь образованным и мудрым. Повзрослев, я старался снять их, чтобы наблюдать за спортом и быть свободным.",Un Par de Gafas,"¿Cuándo empezaste a tener miopía? Antes lo veía como una medalla: parecía que al usar gafas me volvía más culto y sabio. Al crecer, intenté quitármelas para poder disfrutar del deporte y de la alegría.",一幅眼鏡,你是從什麽時候開始近視的？我曾經視它為勛章：好像戴上它就因此變得博學、智識。長大了之後卻想方設法把它摘下，好讓我看著運動、開朗。,,,,,
302,窑一只鸡,Roasting A Chicken In A Kiln,窯で鶏を焼く,搭好一个土堆，把鸡用荷叶再套上一层锡箔纸包裹好，只消静悄悄地等待……,"Heap a mound of coals, wrap the chicken in lotus leaves and foil, then wait in silence…",土を盛り、蓮の葉とホイルで鶏を包み、静かに待つだけ…,quest,,common,,,Запечённая Курица,"Сделай земляной курган, заверни курицу в листья лотоса, затем в фольгу и тихо жди…",Pollo al Horno de Barro,"Construye un montículo de tierra, envuelve el pollo en hojas de loto y luego en papel de aluminio, y espera en silencio…",窯一只雞,搭好一個土堆，把雞用荷葉再套上一層錫箔紙包裹好，只消靜悄悄地等待……,,,,,
303,剑道,Kendo,剣道,高举竹剑，在狂风暴雨般的进攻中寻得心灵的宁静。,Raise the bamboo sword high and find peace of mind amid the storm of strikes.,竹剣を高く掲げ、猛攻の中に心の静寂を見出す。,sports,,rare,,,Кендō,"Возьмите боевую палку в руки и найдите душевное покой в атаках, подобных бурю и ливню.",Kendo,Levanta alto el bastón de bambú y encuentra la paz interior en un ataque tan furioso como un vendaval y una tormenta.,劍道,高舉竹劍，在狂風暴雨般的進攻中尋得心靈的寧靜。,,,,,
304,击剑,Fencing,フェンシング,穿刺，跳跃，一击制胜。,"Thrust, leap, one strike to win.",突き、飛躍、一撃必勝。,sports,,rare,,,Фехтование,"Пункция, прыжок, победная удар.",Esgrima,"Pinchar, saltar, un golpe para ganar.",擊劍,穿刺，跳躍，一擊製勝。,,,,,
305,穿古代盔甲,Wearing Armor,古代の鎧を着る,穿上才知道盔甲是这样沉甸甸，光是移动就已费劲力气，更难想象古时候的将军在战场上如何横冲直撞。,Only when you done it you feel its weight. Imagine generals charging into battle in such gear.,着て初めてその重さが分かる。将軍たちが戦場を駆け抜けた姿が想像される。,quest,,rare,,,носить древнюю броню,"Только после того как надел броню, я понял, насколько она тяжелая. Даже передвигаться уже требует много усилий, а как же тогда можно было себе представить, как древние генералы разъезжали по полю боя.",Usar armadura antigua,"Solo al ponérselo te das cuenta de lo pesada que es la armadura; apenas moverse ya requiere mucho esfuerzo, y es aún más difícil imaginar cómo los generales de la antigüedad embistían sin cesar en el campo de batalla.",穿古代盔甲,穿上才知道盔甲是這樣沈甸甸，光是移動就已費勁力氣，更難想象古時候的將軍在戰場上如何橫沖直撞。,,,,,
306,枕头大战,Pillow Fight,枕投げ,听上去很幼稚，但这是成年人才会玩的游戏。有时候，成年人需要比小孩更小孩。,"It may sound childish, but adults need to play too. Sometimes more childlike than children.",幼稚に聞こえるが、大人こそ遊ぶべきときもある。子ども以上に童心に帰れる。,quest,,common,,,Пирог с подушками,"Звучит глупо, но это игра для взрослых. Иногда взрослым нужно быть больше детьми, чем дети.",Batalla de Almohadas,"Suena infantil, pero este es un juego que solo los adultos juegan. A veces, los adultos necesitan ser más niños que los niños.",枕頭大戰,聽上去很幼稚，但這是成年人才會玩的遊戲。有時候，成年人需要比小孩更小孩。,,,,,
307,瑜伽,Yoga,ヨガ,第一次尝试身体会嘎吱作响，平衡会摇摇晃晃，但只要坚持下去，你就会看到更好的自己。,"At first your body creaks and balance wobbles, but persevere and you’ll discover a better you.",初めは体が軋み、バランスが揺れるが、続ければもっと良い自分に出会える。,sports,,common,,,йога,"Первая попытка будет сопровождаться скрипом в теле и качающимися движениями, но если вы продолжите, вы увидите лучшую версию себя.",Yoga,"La primera vez que lo intentes, el cuerpo crujirá y el equilibrio temblará, pero si perseveras, verás a un mejor tú mismo.",瑜伽,第一次嘗試身體會嘎吱作響，平衡會搖搖晃晃，但只要堅持下去，你就會看到更好的自己。,,,,,
308,相亲,Blind Date,お見合い,坐下，我看着对方，对方也在审视我。我们交换了条件，颇有默契地演完。我没看上他，他也没看上我。,"You sit across from each other, exchanging glances. Neither of you had a crush, yet both understood.",相対し、条件を交わし、演じきる。どちらも選ばれずとも、通じ合う。,life,,common,,,Свидание вслепую,"Садись. Я наблюдаю за другим человеком, он наблюдает за мной. Мы обмениваемся условиями и, к удивлению, гармонично разыгрываем сцену. Мне он не понравился, и он не понравился мне.",Cita a Ciegas,"Siéntate. Observo a la otra persona y ellos me observan a mí. Intercambiamos condiciones y, con sorprendente armonía, representamos la escena. No me gustaron, y ellos no me gustaron.",相親,坐下，我看著對方，對方也在審視我。我們交換了條件，頗有默契地演完。我沒看上他，他也沒看上我。,,,,,
309,在海边放烟花,Beach Fireworks,海辺で花火をする,把相机放到两三米开外，打开曝光，用烟花去画画。,"Set the camera two or three meters away, open the shutter, and paint with fireworks.",カメラを数メートル離して固定し、シャッターを開けて花火で絵を描く。,quest,,common,,,Запуск фейерверков на море,"Поставь камеру на два-три метра, открой экспозицию и рисуй огнями фейерверка.",Fuegos Artificiales en la Playa,"Coloca la cámara a un par de metros, abre la exposición y usa los fuegos artificiales para pintar.",在海邊放煙花,把相機放到兩三米開外，打開曝光，用煙花去畫畫。,,,,,
310,和陌生人一起旅行,Traveling With Strangers,見知らぬ人と旅をする,见面前有无数或浪漫或紧张的想象。,Countless romantic or tense imaginings before you even meet.,出会う前に、無数のロマンや緊張を想像する。,quest,,common,,,Путешествие с незнакомцами,До встречи возникает бесчисленное количество романтических или напряжённых фантазий.,Viajar con Desconocidos,"Antes de encontrarse, surgen innumerables imaginaciones románticas o tensas.",和陌生人一起旅行,見面前有無數或浪漫或緊張的想象。,,,,,
311,放弃擅长的领域重新开始,Abandoning Your Expertise And Starting Over,得意分野を捨てて新たに始める,我知道这需要多大的勇气，在别人的目光下笨手笨脚地开始一切。我希望这个新的领域是你所热爱的，既然这样，那就只管向前。,"I know it takes courage to fumble under others’ gazes. If you love this new field, just move forward.",人目の中で手探りから始める勇気を知っている。新しい道が好きなら、ただ前へ。,career,,rare,,,Отказ от сильных сторон и новый старт,"Я знаю, сколько смелости нужно, чтобы начать неуклюже под чужими взглядами. Надеюсь, это новое поле — то, что тебе нравится; если да, просто двигайся вперёд.",Abandonar Tus Habilidades y Empezar de Nuevo,"Sé cuánta valentía se necesita para comenzar torpemente bajo la mirada de otros. Espero que este nuevo campo sea lo que amas; si es así, solo avanza.",放棄擅長的領域重新開始,我知道這需要多大的勇氣，在別人的目光下笨手笨腳地開始一切。我希望這個新的領域是你所熱愛的，既然這樣，那就只管向前。,,,,,
312,拒绝潜规则,Rejecting The Unspoken Rules,見えざるルールを拒否する,NO就是NO。,NO means NO.,NOはNO。,life,,rare,,,Отказ от негласных правил,НЕТ значит НЕТ.,Rechazar Reglas No Escritas,NO significa NO.,拒絕潛規則,NO就是NO。,,,,,
313,成为公民,Becoming A Citizen,市民になる,有些人与生俱来，有些人需一掷千金，有些人需双手合十满心祈祷，有些人需机关算尽不惜昧着良心，有些人需像老鼠一样躲闪，都只为了一张卡片。,"Some are born citizens, some spend fortunes, some pray with hands clasped, some scheme unscrupulously — just to get the card.",市民は生まれながらの者もいれば、大金を投じる者も、祈る者も、手段を選ばぬ者もいる—たった一枚のカードのために。,life,,rare,,,Стать гражданином,"Некоторые становятся гражданами по рождению, кто-то тратит целое состояние, кто-то молится, кто-то хитрит, кто-то прячется как мышь — всё ради одной карточки.",Convertirse en Ciudadano,"Algunas personas son ciudadanos por nacimiento, otras pagan una fortuna, algunas rezan con las manos juntas, otras manipulan con astucia, algunas se esconden como ratones, todo por una tarjeta.",成為公民,有些人與生俱來，有些人需一擲千金，有些人需雙手合十滿心祈禱，有些人需機關算盡不惜昧著良心，有些人需像老鼠一樣躲閃，都只為了一張卡片。,,,,,
314,汽车改装,Car Modification,車を改造する,改个颜色也是汽车改装。,Even changing a color is car modification.,色を変えるだけでもカスタムだ。,quest,,common,,,Тюнинг автомобилей,Сменить цвет тоже является тюнингом автомобиля.,Modificación de automóviles,Cambiar el color también es una modificación de automóviles.,汽車改裝,改個顏色也是汽車改裝。,,,,,
315,拍云,Cloud Photography,雲を撮影する,五月的深圳云朵低矮又饱满，和蓝色的天空形成了鲜明的对比，它们有的立体，聚成一团；有的稀疏，散成一片。配上绿地和花花绿绿的衣服，活脱脱一副漫画景象。,"The clouds in Shenzhen in May hang low and full against the blue sky. Some billow in clusters, some thinly scattered like a comic scene with green parks and colorful clothes.",五月の深圳の雲は低く膨らみ、青空と鮮やかな対比を成す。緑地やカラフルな服と相まって、まるで漫画の一コマ。,quest,,common,,,Пай Юнь,"В мае в Шэньчжэне облака низкие и полные, они резко контрастируют с голубым небом: одни из них объемные, сгустившиеся в комки, другие редкие, рассеянные на лоскутки. В сочетании с зелёными площадями и разноцветными одеждами это выглядит как иллюстрация из комикса.",Tomar Nubes,"En mayo, las nubes en Shenzhen son bajas y bulbosas, contrastando claramente con el cielo azul. Algunas son tridimensionales y se agrupan en una masa, mientras que otras son dispersas y se extienden en una lámina. Junto con las áreas verdes y la ropa colorida, forman un paisaje que parece sacado de un cómic.",拍雲,五月的深圳雲朵低矮又飽滿，和藍色的天空形成了鮮明的對比，它們有的立體，聚成一團；有的稀疏，散成一片。配上綠地和花花綠綠的衣服，活脫脫一副漫畫景象。,,,,,
316,看龙舟比赛,Watch A Dragon Boat Race,ドラゴンボートレースを観戦する,他们打鼓整齐划一，在水面划出笔直的线。,"They beat the drums in perfect unison, carving straight lines across the water.",彼らの太鼓は完璧に揃っていて、水面に真っ直ぐな線を描いていた。,quest,,common,,,Смотреть гонку драконьих лодок,"Они барабанят ровно и точно, оставляя прямые разрывы на воде.",Ver la competición de barcos dragón,Tocan los tambores con uniformidad y trazan líneas rectas en la superficie del agua.,看龍舟比賽,他們打鼓整齊劃一，在水面劃出筆直的線。,,,,,
317,周五电影夜,Friday Movie Night,金曜映画ナイト,距离下班还有十五分钟，就把电脑屏幕关上。已经预约好了餐厅，打扮得漂漂亮亮地出席。回到家，电影4K蓝光也早就准备好，盖上毯子，在舒适的角落里窝着。,"Fifteen minutes before clocking out, I shut down the screen. Dinner’s booked, outfit’s on point. The 4K Blu-ray is queued up—blanket ready, curled up in my favorite corner.",退勤15分前にパソコンを閉じた。レストランは予約済み、服もばっちり。家に帰ると4Kブルーレイがスタンバイ、ブランケットをかけてお気に入りの角で丸くなる。,quest,,common,,,Фильмная ночь в пятницу,"Осталось пятнадцать минут до окончания рабочего дня, и я выключаю экран компьютера. Ресторан уже забронирован, я одеваюсь красиво и иду туда. Приезжаю домой, 4K-бли-ray фильма уже готов, накидываю одеяло и укладываюсь в удобный уголок.",Viernes De Cine Nocturno,"Quedan quince minutos para el final del trabajo, así que apago la pantalla de la computadora. Ya he reservado un restaurante y me visto bonita para asistir. Al llegar a casa, la película en 4K Blu-ray ya está preparada, me cubro con una manta y me acurruco en un rincón cómodo.",周五電影夜,距離下班還有十五分鐘，就把電腦屏幕關上。已經預約好了餐廳，打扮得漂漂亮亮地出席。回到家，電影4K藍光也早就準備好，蓋上毯子，在舒適的角落裏窩著。,,,,,
318,把菜单上不存在的东西点出来,Order Something That’s Not On The Menu,メニューにない料理を注文する,他说没有，我说可以有，他说真没有，我说必须有。最后，就这样端上来了。,"He said, “It’s not on the menu.” I said, “But it can be.” He insisted. I insisted harder. Then it arrived, just like that.",「ない」と言われたけど、「あるはず」と返した。「本当にない」と言われたけど、「絶対ある」と押し切った。結果、それは出てきた。,quest,,rare,,,"Заказать то, чего нет в меню","Он сказал, что нет, я сказал, что может быть, он сказал, что действительно нет, я сказал, что должно быть. В конце концов, так и подали.",Pedir algo que no esté en el menú,"Él dijo que no, yo dije que sí se podía, él dijo que realmente no, yo dije que tenía que haber. Al final, así fue como se sirvió.",把菜單上不存在的東西點出來,他說沒有，我說可以有，他說真沒有，我說必須有。最後，就這樣端上來了。,,,,,
319,在地铁上看纸质书,Read A Physical Book On The Subway,地下鉄で紙の本を読む,就当我是在装逼吧，可是快节奏地玩手机信息像是光点闪烁般闪过大脑皮层，激烈的刺激过后什么都剩不下。,"Call it pretentious, but frantic scrolling on your phone feels like flashing sparks across the cortex—once the fireworks are over, nothing remains.",「かっこつけてる」と言われるかも。でもスマホの高速スクロールはまるで大脳皮質を光の点が通り過ぎていく感じ。刺激の後には何も残らない。,quest,,common,,,Чтение бумажной книги в метро,"Считайте, что я пытаюсь показаться крутым, но быстрое скроллинг сообщений на телефоне, словно мерцающие светящиеся точки,闪过 мозговую кору, и после интенсивного стимула ничего не остается.",Leyendo un libro impreso en el metro,"Trátame de presumido, pero revisar mensajes en el teléfono con rapidez, como destellos de luz que cruzan la corteza cerebral, no deja nada después de una estimulación intensa.",在地鐵上看紙質書,就當我是在裝逼吧，可是快節奏地玩手機信息像是光點閃爍般閃過大腦皮層，激烈的刺激過後什麽都剩不下。,,,,,
320,在山顶喝酒,Drink Alcohol On A Mountaintop,山頂でお酒を飲む,站在雪山顶，来时的风、雪、冰、寒已经抛在脑后，眼前的是属于登顶者的嘉奖。从包里摸出香槟和酒杯，斟上一杯，敬远方。,"At the top of the snowy mountain, I forget the wind, snow, and cold. Out comes the champagne and glasses. I pour a drink—for the journey, for the summit.",雪山の頂上に立てば、風も雪も寒さも忘れる。リュックからシャンパンとグラスを出して、一杯注ぐ。それは遠くへの敬意。,quest,,rare,,,Пить вино на вершине горы,"Стоя на вершине снежного горы, ветер, снег, лёд и холод, с которыми пришёл, остались позади, а перед глазами — награда для вершины. Из сумки достаю шампанское и стаканы, наливаю стакан и салютую дали.",Beber en la cima de la montaña,"Parado en la cima de la montaña nevada, el viento, la nieve, el hielo y el frío del camino ya quedaron atrás; lo que tengo delante es el premio para quienes llegan a la cima. Saqué champagne y copas de la mochila, vertí un poco y brindé por lo lejano.",在山頂喝酒,站在雪山頂，來時的風、雪、冰、寒已經拋在腦後，眼前的是屬於登頂者的嘉獎。從包裏摸出香檳和酒杯，斟上一杯，敬遠方。,,,,,
321,成为终身教授,Become A Tenured Professor,終身教授になる,穿过那扇门，就是终生的保障、衣食无忧和社会地位；穿不过，就是发表期刊的蹉跎。,"Past that door lies tenure, security, and prestige. Fail to pass, and it’s back to the grind of peer reviews and publish-or-perish.",その扉をくぐれば、終身雇用と安定と社会的地位が待っている。くぐれなければ、延々と続く論文と査読の繰り返しがあるだけだ。,career,,rare,,,Стать профессором на всю жизнь,"За этой дверью — пожизненная защита, беззаботная жизнь и социальный статус; если не пройти, то это потери времени на публикации журналов.",Convertirse En Profesor Titular Vitalicio,"Al otro lado de esa puerta está la seguridad vitalicia, la ausencia de preocupaciones por la comida y la ropa, y el estatus social; si no la cruzas, solo hay el desgaste de publicar en revistas.",成為終身教授,穿過那扇門，就是終生的保障、衣食無憂和社會地位；穿不過，就是發表期刊的蹉跎。,,,,,
322,半路抛锚,Break Down Midway,途中で車が故障,你是龙头，看着自你之后漫漫长看不到尾巴的车龙，你没有自豪，只有冷汗直冒。,You’re the lead car. Behind you stretches a traffic snake with no end in sight. No pride—only cold sweat.,あなたは先頭の車。その後ろには果てしなく続く車列。誇りではなく、冷や汗が止まらない。,life,,rare,,,Заявить поломку по дороге,"Вы являетесь головным автомобилем, наблюдая за бесконечной очередью машин за вами, и вместо гордости у вас лишь холодный пот слезает по спине.",Descompuesto a mitad de camino,"Eres el jefe de la fila de coches; miras la interminable fila de coches detrás de ti que no se ve el final, no te sientes orgulloso, solo sudas frío.",半路拋錨,你是龍頭，看著自你之後漫漫長看不到尾巴的車龍，你沒有自豪，只有冷汗直冒。,,,,,
323,遇见同名的朋友,Meet a Friend with the Same Name,同じ名前の友達に出会う,如此巧合，又是朋友。名字和命理挂钩，兴许同名的你们，会有类似的命运。,"What a coincidence—and you're friends, too. Names tie to destiny. Perhaps the two of you share more than just letters.",こんな偶然、しかも友達。名前は運命に関係するという。もしかしたら、あなたたちの運命も似ているかもしれない。,life,,rare,,,Встретиться с друзьями одинакового имени,"Такое совпадение, опять друг. Имя связано с нумерологией, возможно, вы с одинаковым именем будете иметь похожие судьбы.",Conocer a un amigo con el mismo nombre,"Qué casualidad, otra vez un amigo. El nombre está ligado a la fortuna, quizás ustedes, que comparten el mismo nombre, tengan destinos similares.",遇見同名的朋友,如此巧合，又是朋友。名字和命理掛鉤，興許同名的你們，會有類似的命運。,,,,,
324,遇见同生日的朋友,Meet a Friend with the Same Birthday,同じ誕生日の友達に出会う,如果你拥有365个朋友，那么能够保证你至少有一个和你是同生日的。,"If you have 365 friends, the odds guarantee at least one shares your birthday.",もし友達が365人いれば、少なくとも1人はあなたと同じ誕生日のはず。,life,,common,,,Встретить друга с одинаковым днем рождения,"Если у вас 365 друзей, то можно гарантировать, что хотя бы один из них родился в тот же день, что и вы.",Conocer a un amigo que cumple años el mismo día,"Si tienes 365 amigos, entonces puedes asegurarte de que al menos uno de ellos cumple años el mismo día que tú.",遇見同生日的朋友,如果你擁有365個朋友，那麽能夠保證你至少有一個和你是同生日的。,,,,,
325,去一次音乐节,Attend a Music Festival,音楽フェスに行く,那是我第一次去音乐节，一个人。站在人群中间有点局促。我站在角落里，尽可能地靠前。开场了，音乐一下子把在场的大家串联起来，我们并不认识，可这个时候我感觉到了“连接”。,"It was my first music festival—alone. Awkward in the crowd, I stood in the corner, as close to the stage as possible. When the music started, it connected all of us. We didn’t know each other, but I felt it: connection.",初めての音楽フェス、一人で行った。群衆の中で少し緊張し、端っこでできるだけ前に立った。演奏が始まると、音楽がその場の全員を繋いだ。知らない人たちなのに、“繋がり”を感じた。,quest,,common,,,Пойти на фестиваль музыки,"Это был мой первый фестиваль, и я пошёл один. Стоя в толпе, я чувствовал себя несколько скованно. Я встал в угол, как можно ближе к сцене. Начался концерт, и музыка сразу соединила всех присутствующих. Мы не знали друг друга, но в этот момент я почувствовал ""связь"".",Ir a un festival de música,"Era la primera vez que iba a un festival de música, sola. Estaba un poco incómoda al estar en medio de la multitud. Me quedé en un rincón, lo más cerca posible del escenario. Comenzó el espectáculo, y la música conectó a todos de repente; no nos conocíamos, pero en ese momento sentí ""conexión"".",去一次音樂節,那是我第一次去音樂節，一個人。站在人群中間有點局促。我站在角落裏，盡可能地靠前。開場了，音樂一下子把在場的大家串聯起來，我們並不認識，可這個時候我感覺到了「連接」。,,,,,
326,倒立,Handstand,逆立ち,为了不弄脏鞋，必须要倒立行走。,"To keep my shoes clean, I had to walk on my hands.",靴を汚さないために、逆立ちで歩くしかなかった。,sports,,rare,,,Стойка на руках,"Чтобы не испачкать обувь, нужно ходить на голову.",Inversión,"Para no ensuciar los zapatos, hay que caminar boca abajo.",倒立,為了不弄臟鞋，必須要倒立行走。,,,,,
327,个人网站,Personal Website,個人サイト,在虚拟的网络空间有一席之地，代码的字里行间透露出满满的自我，只是无人关心。,"In a corner of cyberspace, every line of code is filled with my personality—but no one notices.",ネットの片隅に、自分のコードが個性を語っている——でも誰にも気づかれない。,career,,common,,,Личный веб-сайт,"В виртуальном киберпространстве есть свое место, и между строками кода чувствуется полная самость, но никто не заботится.",Sitio web personal,"Tener un lugar en el espacio cibernético virtual, entre líneas de código se revela un fuerte sentido de yo, pero nadie se preocupa.",個人網站,在虛擬的網絡空間有一席之地，代碼的字裏行間透露出滿滿的自我，只是無人關心。,,,,,
328,腹肌满满,Defined Abs,腹筋バキバキ,不管是八块还是六块还是一块，其实每个人都有腹肌的。,"Whether it’s eight-pack, six-pack, or one—everyone has abs.",8個でも6個でも1個でも、腹筋は誰にでもある。,sports,,rare,,,Сбалансированные пресные мышцы,"Без разницы, восемь, шесть или одна, на самом деле у каждого есть пресса.",Abdominales Fuertes,"Ya sea ocho, seis o uno, en realidad todos tenemos abdominales.",腹肌滿滿,不管是八塊還是六塊還是一塊，其實每個人都有腹肌的。,,,,,
329,烤面包,Toast Making,トーストを焼く,外面的面包也不如自己烤出来，端上桌吧，沾点果酱，沾点橄榄油，撕成一团团，送进肚子里。,"No store-bought loaf compares to one baked by hand. Tear it, dip it in jam or olive oil, and enjoy.",手作りのパンにはかなわない。ちぎって、ジャムやオリーブオイルにつけて、お腹の中へ。,skills,,common,,,Жареный хлеб,"Хлеб, купленный снаружи, не лучше того, который ты сам испечишь. Положи его на стол, смажи джемом или оливковым маслом, нарежь кусочками и съешь.",Pan tostado,"El pan comprado fuera no es tan bueno como el que se hornea en casa. Sírvelo en la mesa, untado con mermelada o aceite de oliva, rompe en pedazos y mételo en el estómago.",烤面包,外面的面包也不如自己烤出來，端上桌吧，沾點果醬，沾點橄欖油，撕成一團團，送進肚子裏。,,,,,
